StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,Repeat,Incognito,Promptly,18orOlder,Understood,WantToContinue,Age,Gender,Country,EdLevel,Major,Browser_Browser,Browser_Version,Browser_Operating System,Browser_Resolution,EdOther,workerId,hitID,assignmentId,sessionID,FL_70_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome to our survey. 

Before we begin, please verify that the ID in the field below is your correct Amazon Mechanical Turk ID. 
If it is your ID, please click on Next. 

If this is not your ID, or if no ID is displayed, please enter your ID and click on Next.",I have not attempted to participate more than one time in this study and I am aware that participating more than one time will result in a rejection in MTurk.,I am not using a private/incognito window when participating and I am aware that doing so will result in rejection.,I will complete the study promptly without any excessive delays and I am aware that failing to do so may result my payment being invalidated.,I am age 18 or older.,I have read and understand the information provided.,I want to participate in this research and continue with the survey.,Age (in years):,Gender,List of Countries,What is the highest level of education you have completed?,Major/Field of Study,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"You marked ""Other"" as your highest level of education. Please specify your exact level of education in the space below:",workerId,hitID,assignmentId,sessionID,FL_70 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID301_TEXT""}","{""ImportId"":""QID307""}","{""ImportId"":""QID308""}","{""ImportId"":""QID309""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID305""}","{""ImportId"":""QID311_TEXT""}","{""ImportId"":""QID312""}","{""ImportId"":""QID313""}","{""ImportId"":""QID314""}","{""ImportId"":""QID315_TEXT""}","{""ImportId"":""QID316_BROWSER""}","{""ImportId"":""QID316_VERSION""}","{""ImportId"":""QID316_OS""}","{""ImportId"":""QID316_RESOLUTION""}","{""ImportId"":""QID317_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""sessionID""}","{""ImportId"":""FL_70_DO""}"
12/8/2020 16:18,12/8/2020 16:19,Survey Preview,,100,38,TRUE,12/8/2020 16:19,R_3fpyqbedjuroDVn,,,,,40.43249512,-79.86299896,preview,EN,a22343432,TRUE,TRUE,TRUE,No,No,No,,,,,,,,,,,,,,FS_3fpyqbedjuroDVn,
12/8/2020 16:21,12/8/2020 16:22,Survey Preview,,100,21,TRUE,12/8/2020 16:22,R_OE7SCzvVgM1918R,,,,,40.43249512,-79.86299896,preview,EN,a2343243432,,,,No,Yes,Yes,,,,,,,,,,,,,,FS_OE7SCzvVgM1918R,
12/8/2020 16:42,12/8/2020 16:43,Survey Preview,,100,34,TRUE,12/8/2020 16:43,R_SKaSO2gj4NWZfcR,,,,,40.43249512,-79.86299896,preview,EN,a234324234234,TRUE,TRUE,TRUE,Yes,Yes,No,,,,,,,,,,,,,,FS_SKaSO2gj4NWZfcR,
12/10/2020 11:14,12/10/2020 11:30,Survey Preview,,100,987,TRUE,12/10/2020 11:30,R_10qkr1jBheRspNu,,,,,40.43249512,-79.86299896,preview,EN,AWWERWR23ASDF,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,Albania,Less than High School,,Chrome,86.0.4240.198,Windows NT 10.0,1366x768,,,,,FS_10qkr1jBheRspNu,
12/12/2020 11:34,12/12/2020 13:59,IP Address,96.236.147.85,100,8719,TRUE,12/12/2020 13:59,R_2Pz1Co5lxdEJg1i,,,,,40.46420288,-79.94480133,anonymous,EN,sjslfjfksdjfjslk,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Male,Benin,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,,,,FS_2Pz1Co5lxdEJg1i,
12/17/2020 13:20,12/17/2020 13:22,Survey Preview,,100,106,TRUE,12/17/2020 13:22,R_PA4A12qUXhw2XF7,,,,,40.43249512,-79.86299896,preview,EN,a2wrweqfqwrqwef,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,Angola,Some College,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediumfov,FL_79
12/18/2020 11:13,12/18/2020 11:14,Survey Preview,,100,49,TRUE,12/18/2020 11:14,R_2QQE1JgVBjQ6Xtb,,,,,40.45620728,-79.81629944,preview,EN,a23432432423,TRUE,TRUE,TRUE,Yes,Yes,Yes,23,Non-Binary,Andorra,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardmap,FL_82
12/18/2020 11:28,12/18/2020 11:28,Survey Preview,,100,47,TRUE,12/18/2020 11:28,R_2thF9B496vif7cR,,,,,40.43249512,-79.86299896,preview,EN,a23432423432,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,Angola,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easyfov,FL_77
12/18/2020 11:59,12/18/2020 12:32,IP Address,96.236.147.85,100,1951,TRUE,12/18/2020 12:32,R_33BCWzfeu5rScMw,,,,,40.46420288,-79.94480133,anonymous,EN,testcoty,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Male,Benin,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,,,,mediummap,FL_80
12/18/2020 14:04,12/18/2020 14:06,Survey Preview,,100,124,TRUE,12/18/2020 14:06,R_3Piv46nQydtGndM,,,,,40.43249512,-79.86299896,preview,EN,a2342343234234,TRUE,TRUE,TRUE,Yes,Yes,Yes,34,Female,Algeria,2-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardfov,FL_81
12/18/2020 15:07,12/18/2020 15:08,Survey Preview,,100,43,TRUE,12/18/2020 15:08,R_1dENNTsSe7tC0X4,,,,,40.43249512,-79.86299896,preview,EN,a979879797,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Female,Belarus,"Professional Degree (JD, MD)",,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easymap,FL_78
1/5/2021 16:03,1/5/2021 16:08,IP Address,74.98.214.227,100,310,TRUE,1/5/2021 16:08,R_siEUFRwdh4RTQfD,,,,,40.43249512,-79.86299896,anonymous,EN,a34523452345,TRUE,TRUE,TRUE,Yes,Yes,Yes,54,Female,Belarus,Some College,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardfov,FL_81
1/5/2021 16:34,1/5/2021 16:35,IP Address,74.98.214.227,100,32,TRUE,1/5/2021 16:35,R_3sdfCncOZcrbyIF,,,,,40.43249512,-79.86299896,anonymous,EN,a979797978979,TRUE,TRUE,TRUE,Yes,Yes,Yes,33,Non-Binary,Afghanistan,Masters Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediummap,FL_80
1/5/2021 17:05,1/5/2021 17:07,IP Address,96.236.147.85,100,124,TRUE,1/5/2021 17:07,R_ZJolct1cMctFCjT,,,,,40.46420288,-79.94480133,anonymous,EN,Atest677909,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Male,Benin,High School / GED,,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,,,,mediumfov,FL_79
1/6/2021 13:49,1/6/2021 13:49,IP Address,74.98.214.227,100,34,TRUE,1/6/2021 13:49,R_3plomu3hCkVTbZi,,,,,40.45620728,-79.81629944,anonymous,EN,a2345234523453,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Non-Binary,Barbados,2-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardmap,FL_82
1/5/2021 17:08,1/6/2021 14:10,IP Address,96.236.147.85,100,75754,TRUE,1/6/2021 14:10,R_2rVDNSWpEAWRCi5,,,,,40.46420288,-79.94480133,anonymous,EN,Atest122809809,TRUE,TRUE,TRUE,Yes,Yes,Yes,55,Male,Belize,4-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,,,,easymap,FL_78
1/6/2021 14:22,1/6/2021 14:26,IP Address,71.199.97.145,100,222,TRUE,1/6/2021 14:26,R_2zUBdMnXeKkq8CL,,,,,40.43240356,-79.92469788,anonymous,EN,testnnn,TRUE,TRUE,TRUE,Yes,Yes,Yes,20,Female,United States of America,Some College,,Chrome,86.0.4240.193,Macintosh,1440x900,,,,,easyfov,FL_77
1/6/2021 15:10,1/6/2021 15:10,IP Address,74.98.214.227,100,36,TRUE,1/6/2021 15:10,R_1hR4XZylXXogW0V,,,,,40.43249512,-79.86299896,anonymous,EN,a987298797,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Non-Binary,Angola,2-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easyfov,FL_77
1/6/2021 15:23,1/6/2021 15:24,IP Address,74.98.214.227,100,39,TRUE,1/6/2021 15:24,R_RaXmf3UuprMQHmN,,,,,40.45620728,-79.81629944,anonymous,EN,a987979798797,TRUE,TRUE,TRUE,Yes,Yes,Yes,55,Male,Barbados,Some College,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,hardfov,FL_81
1/6/2021 19:18,1/6/2021 19:19,IP Address,96.236.147.85,100,32,TRUE,1/6/2021 19:19,R_1ODYFx6UoMCjDeN,,,,,40.47520447,-79.95279694,anonymous,EN,sfsff3444,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Male,Benin,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,,,,hardmap,FL_82
1/7/2021 10:58,1/7/2021 10:58,IP Address,74.98.214.227,100,38,TRUE,1/7/2021 10:58,R_2c5Xr0TPW6rwRR4,,,,,40.45620728,-79.81629944,anonymous,EN,a345345345345,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Non-Binary,Bahamas,Less than High School,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,easymap,FL_78
1/7/2021 11:02,1/7/2021 11:03,IP Address,74.98.214.227,100,61,TRUE,1/7/2021 11:03,R_33xOhnVjW5vxMiW,,,,,40.43249512,-79.86299896,anonymous,EN,a345345345327,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,Andorra,4-year College Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,mediumfov,FL_79
1/7/2021 11:54,1/7/2021 11:55,IP Address,96.236.147.85,100,31,TRUE,1/7/2021 11:55,R_2312tQ8fwU9Syyv,,,,,40.46420288,-79.94480133,anonymous,EN,aSJLKJSFJLSJKSF098098,TRUE,TRUE,TRUE,Yes,Yes,Yes,44,Female,Belgium,Masters Degree,,Chrome,87.0.4280.88,Windows NT 10.0,1920x1080,,,,,mediummap,FL_80
